,riotIdGameName,games_played,win_y,challenges.damagePerMinute,challenges.dodgeSkillShotsSmallWindow,challenges.goldPerMinute,challenges.kda,challenges.killParticipation,challenges.laneMinionsFirst10Minutes,challenges.quickSoloKills,challenges.saveAllyFromDeath,challenges.skillshotsDodged,challenges.survivedSingleDigitHpCount,challenges.teamDamagePercentage,challenges.visionScorePerMinute,assists,assistMePings,championId,damageDealtToBuildings,damageDealtToObjectives,dangerPings,enemyMissingPings,kills,deaths,dragonKills,challenges.earlyLaningPhaseGoldExpAdvantage,challenges.laningPhaseGoldExpAdvantage,champExperience,goldEarned,neutralMinionsKilled,totalAllyJungleMinionsKilled,totalEnemyJungleMinionsKilled,totalMinionsKilled,challenges.maxCsAdvantageOnLaneOpponent,gameDuration,challenges.turretPlatesTaken,challenges.soloKills,challenges.damageTakenOnTeamPercentage,totalTimeSpentDead,champLevel,challenges.maxLevelLeadLaneOpponent,totalHealsOnTeammates,challenges.effectiveHealAndShielding,totalTimeCCDealt,challenges.wardTakedownsBefore20M,junglecsPerMinute,csPerMinute,timeDead,role,games_played_norm,win_y_norm,challenges.damagePerMinute_norm,challenges.dodgeSkillShotsSmallWindow_norm,challenges.goldPerMinute_norm,challenges.kda_norm,challenges.killParticipation_norm,challenges.laneMinionsFirst10Minutes_norm,challenges.quickSoloKills_norm,challenges.saveAllyFromDeath_norm,challenges.skillshotsDodged_norm,challenges.survivedSingleDigitHpCount_norm,challenges.teamDamagePercentage_norm,challenges.visionScorePerMinute_norm,assists_norm,assistMePings_norm,championId_norm,damageDealtToBuildings_norm,damageDealtToObjectives_norm,dangerPings_norm,enemyMissingPings_norm,kills_norm,deaths_norm,dragonKills_norm,challenges.earlyLaningPhaseGoldExpAdvantage_norm,challenges.laningPhaseGoldExpAdvantage_norm,champExperience_norm,goldEarned_norm,neutralMinionsKilled_norm,totalAllyJungleMinionsKilled_norm,totalEnemyJungleMinionsKilled_norm,totalMinionsKilled_norm,challenges.maxCsAdvantageOnLaneOpponent_norm,gameDuration_norm,challenges.turretPlatesTaken_norm,challenges.soloKills_norm,challenges.damageTakenOnTeamPercentage_norm,totalTimeSpentDead_norm,champLevel_norm,challenges.maxLevelLeadLaneOpponent_norm,totalHealsOnTeammates_norm,challenges.effectiveHealAndShielding_norm,totalTimeCCDealt_norm,challenges.wardTakedownsBefore20M_norm,junglecsPerMinute_norm,csPerMinute_norm,timeDead_norm
2560,Uanhuestan,1,100.0,1492.8797214162796,14.0,725.8726995436525,2.6666666666666665,0.6557377049180327,11.0,0.0,0.0,91.0,0.0,0.1986636921754362,0.0,28.0,1.0,163.0,1156.0,1156.0,0.0,0.0,12.0,15.0,0.0,,,17715.0,13604.0,0.0,0.0,0.0,36.0,,1124.0,0.0,1.0,0.1733324264545126,353.0,17.0,,0.0,0.0,307.0,0.0,0.0,1.9217081850533808,0.3140569395017794,aram,0.0,1.0,0.5311135952605187,0.7777777777777778,0.6414556743605518,0.25362318840579706,0.6100953601099849,0.2631578947368421,0.0,0.0,0.5878378378378378,0.0,0.5975447473199264,0.0,0.6216216216216216,1.0,0.2898550724637681,0.29760219134070304,0.29760219134070304,0.0,0.0,0.55,0.8666666666666667,0.0,,,0.485568381547606,0.6120329965374004,0.0,0.0,0.0,0.375,,0.5662431941923775,0.0,0.5,0.39583906441863775,0.7570510830368017,0.8888888888888888,,0.0,0.0,0.6290983606557377,0.0,0.0,0.4359915133271952,0.9572246607247777
2561,UchennaGbuchie,1,0.0,613.6877210560388,20.0,592.7419814672731,2.083333333333333,0.5813953488372093,8.0,0.0,0.0,170.0,0.0,0.0970597848480987,0.0,19.0,0.0,75.0,712.0,712.0,0.0,0.0,6.0,12.0,0.0,,,17147.0,11379.0,0.0,0.0,0.0,13.0,,1151.0,0.0,0.0,0.3089723319433898,282.0,17.0,,298.0,298.529296875,458.0,0.0,0.0,0.6776715899218071,0.2450043440486533,aram,0.0,0.0,0.11179526840726337,1.0,0.178469605277424,0.16485507246376807,0.45786861405713,0.18421052631578946,0.0,0.0,1.0,0.0,0.16563432390435598,0.0,0.3783783783783784,0.0,0.13043478260869565,0.183298235497042,0.183298235497042,0.0,0.0,0.25,0.6666666666666666,0.0,,,0.46208384722979656,0.4403689119043063,0.0,0.0,0.0,0.11363636363636363,,0.5907441016333939,0.0,0.0,1.0,0.5874907458266663,0.8888888888888888,,0.15789083279466773,0.05753401584538786,0.9385245901639344,0.0,0.0,0.12325649657125146,0.7006103026569889
2562,Uctaoggod,1,100.0,1628.023436196017,0.0,831.2785411262568,12.333333333333334,0.7254901960784313,46.0,0.0,0.0,15.0,0.0,0.2214551149235021,0.0,23.0,1.0,41.0,3011.0,3011.0,0.0,0.0,14.0,3.0,0.0,,,15417.0,12646.0,0.0,0.0,0.0,67.0,,912.0,0.0,1.0,0.144414927786412,81.0,16.0,,0.0,0.0,254.0,0.0,0.0,4.407894736842105,0.0888157894736842,aram,0.0,1.0,0.5955684996988596,0.0,1.0,1.0,0.7529236926810449,1.0,0.0,0.0,0.07432432432432433,0.0,0.6944293387524826,0.0,0.4864864864864865,1.0,0.06884057971014493,0.775155880732575,0.775155880732575,0.0,0.0,0.65,0.06666666666666667,0.0,,,0.39055524798717284,0.538120999648185,0.0,0.0,0.0,0.7272727272727273,,0.3738656987295826,0.0,0.5,0.2669619287544673,0.10746781935853653,0.7777777777777778,,0.0,0.0,0.5204918032786885,0.0,0.0,1.0,0.12017990164478445
2563,Udyr Hęntai,1,100.0,1278.195301307728,0.0,681.3557710492677,3.875,0.6739130434782609,33.0,0.0,0.0,66.0,1.0,0.1794503699733051,0.0,27.0,0.0,875.0,3679.0,3679.0,0.0,0.0,4.0,8.0,0.0,,,20013.0,13345.0,0.0,0.0,0.0,69.0,,1174.0,0.0,0.0,0.2920099726172629,224.0,18.0,,0.0,0.0,90.0,0.0,0.0,3.5264054514480407,0.1908006814310051,aram,0.0,1.0,0.42872286399306647,0.0,0.4866400312912701,0.4375,0.6473119993623719,0.8421052631578947,0.0,0.0,0.4189189189189189,1.0,0.5158703870927439,0.0,0.5945945945945946,0.0,1.0,0.947126697182047,0.947126697182047,0.0,0.0,0.15,0.4,0.0,,,0.5805815151080392,0.5920505255621323,0.0,0.0,0.0,0.75,,0.6116152450090744,0.0,0.0,0.9247514158171216,0.44897666754233034,1.0,,0.0,0.0,0.18442622950819673,0.0,0.0,0.8393920470880806,0.4991777859459736
2564,Uferlos,1,0.0,729.6132794319576,22.0,625.5589609461839,2.555555555555556,0.6216216216216216,15.0,0.0,1.0,169.0,0.0,0.1515129377755371,0.0,18.0,0.0,117.0,550.0,550.0,0.0,0.0,5.0,9.0,0.0,,,13504.0,11122.0,0.0,0.0,0.0,29.0,,1066.0,0.0,1.0,0.1687932265717027,194.0,15.0,,0.0,1802.1361083984373,273.0,0.0,0.0,1.6322701688555348,0.1819887429643527,aram,0.0,0.0,0.1670843419632128,1.0,0.2925965667154718,0.23671497584541068,0.5402377362456741,0.3684210526315789,0.0,1.0,1.0,0.0,0.39711050386495417,0.0,0.35135135135135137,0.0,0.20652173913043478,0.14159273809462514,0.14159273809462514,0.0,0.0,0.2,0.4666666666666667,0.0,,,0.31146032870905765,0.42054074572421407,0.0,0.0,0.0,0.29545454545454547,,0.5136116152450091,0.0,0.5,0.37560913077818076,0.37733145463663936,0.6666666666666666,,0.0,0.3473164225471507,0.5594262295081968,0.0,0.0,0.3632304681942206,0.4664307194799804
2565,Ukai,1,0.0,911.8280378074852,11.0,625.6139045577432,2.7,0.7714285714285715,10.0,0.0,0.0,72.0,0.0,0.1301505373201811,0.0,23.0,0.0,910.0,357.0,357.0,0.0,0.0,4.0,10.0,0.0,,,11295.0,8474.0,0.0,0.0,0.0,11.0,,812.0,0.0,1.0,0.1434168463698661,234.0,13.0,,0.0,1409.517822265625,105.0,0.0,0.0,0.812807881773399,0.2881773399014778,aram,0.0,0.0,0.25398912223724823,0.6111111111111112,0.29278764302832166,0.2586956521739131,0.8469891725389043,0.23684210526315788,0.0,0.0,0.4594594594594595,0.0,0.30630057668252514,0.0,0.4864864864864865,0.0,1.0,0.09190655909051122,0.09190655909051122,0.0,0.0,0.15,0.5333333333333333,0.0,,,0.2201269901385629,0.2162411969114352,0.0,0.0,0.0,0.09090909090909091,,0.2831215970961887,0.0,0.5,0.26251376138008903,0.4728584051775607,0.4444444444444444,,0.0,0.27164911976643685,0.2151639344262295,0.0,0.0,0.1572280458503737,0.8610504793648482
2566,Umbra179,1,0.0,2110.869491536151,0.0,705.3324277581555,2.272727272727273,0.5434782608695652,21.0,0.0,0.0,44.0,0.0,0.2498339310603912,0.0,10.0,0.0,236.0,179.0,179.0,0.0,0.0,15.0,11.0,0.0,,,17589.0,13999.0,0.0,0.0,0.0,63.0,,1190.0,0.0,1.0,0.1939453995468037,282.0,17.0,,0.0,0.0,0.0,0.0,0.0,3.1764705882352944,0.2369747899159663,aram,0.0,0.0,0.8258551719729029,0.0,0.5700231768177205,0.1936758893280633,0.3802278823746536,0.5263157894736842,0.0,0.0,0.2702702702702703,0.0,0.815065511279073,0.0,0.13513513513513514,0.0,0.4221014492753623,0.046082000216250724,0.046082000216250724,0.0,0.0,0.7,0.6,0.0,,,0.4803587841461201,0.6425081935846237,0.0,0.0,0.0,0.6818181818181818,,0.6261343012704175,0.0,0.5,0.4877052718021819,0.5874907458266663,0.8888888888888888,,0.0,0.0,0.0,0.0,0.0,0.7514228621472206,0.6707707453484048
2567,UnPocoPiruletaa,1,0.0,1488.30631370299,2.0,801.5966003255041,2.0,0.88,17.0,0.0,0.0,46.0,0.0,0.2260602829179641,0.0,11.0,0.0,222.0,0.0,0.0,0.0,0.0,11.0,11.0,0.0,,,11477.0,10818.0,0.0,0.0,0.0,30.0,,809.0,0.0,1.0,0.1579805440438866,211.0,14.0,,0.0,0.0,82.0,0.0,0.0,2.224969097651422,0.2608158220024721,aram,0.0,0.0,0.5289323724223122,0.1111111111111111,0.9047991886538966,0.15217391304347827,1.0,0.42105263157894735,0.0,0.0,0.28378378378378377,0.0,0.714005554970033,0.0,0.16216216216216217,0.0,0.3967391304347826,0.0,0.0,0.0,0.0,0.5,0.6,0.0,,,0.2276519641629314,0.39708641685749024,0.0,0.0,0.0,0.3068181818181818,,0.28039927404718695,0.0,0.5,0.32742005436376165,0.4179304086165309,0.5555555555555556,,0.0,0.0,0.1680327868852459,0.0,0.0,0.5122274592422272,0.7593691695554311
2568,UncookedFish,1,0.0,2089.3396885215925,29.0,638.1098724616087,3.125,0.6410256410256411,29.0,0.0,0.0,237.0,0.0,0.2149719159359439,0.0,43.0,0.0,39.0,1088.0,1088.0,0.0,0.0,7.0,16.0,0.0,,,27110.0,15668.0,0.0,0.0,0.0,72.0,,1473.0,0.0,0.0,0.2605189415911976,437.0,18.0,,0.0,0.0,105.0,0.0,0.0,2.9327902240325865,0.296673455532926,aram,0.0,0.0,0.8155868335737299,1.0,0.33624462382730136,0.3233695652173913,0.5799702775577764,0.7368421052631579,0.0,0.0,1.0,0.0,0.6668697567102057,0.0,1.0,0.0,0.06521739130434782,0.2800961800853675,0.2800961800853675,0.0,0.0,0.3,0.9333333333333333,0.0,,,0.8740141560472883,0.7712755451588412,0.0,0.0,0.0,0.7840909090909091,,0.882940108892922,0.0,0.0,0.7844047722733011,0.9576576791727366,1.0,,0.0,0.0,0.2151639344262295,0.0,0.0,0.6901647101923191,0.8926238799666222
2569,UneducatedPotato,1,100.0,1538.644732324103,2.0,789.8032576666922,7.5,0.7894736842105263,16.0,0.0,1.0,41.0,1.0,0.1715217656952644,0.0,42.0,0.0,235.0,2655.0,2655.0,0.0,0.0,18.0,8.0,0.0,,,24917.0,16906.0,0.0,0.0,0.0,46.0,,1284.0,0.0,1.0,0.1276383516723664,236.0,18.0,,4519.0,6123.564453125,164.0,0.0,0.0,2.149532710280374,0.1838006230529595,aram,0.0,1.0,0.5529405770738502,0.1111111111111111,0.8637857137936383,0.9891304347826088,0.8839391556409646,0.39473684210526316,0.0,1.0,0.25,1.0,0.48216649793235444,0.0,1.0,0.0,0.42028985507246375,0.6835067629840541,0.6835067629840541,0.0,0.0,0.85,0.4,0.0,,,0.78334235365476,0.8667902133726706,0.0,0.0,0.0,0.48863636363636365,,0.7114337568058077,0.0,0.5,0.19219346068446772,0.47763475270460676,1.0,,1.0,1.0,0.3360655737704918,0.0,0.0,0.49326370852877055,0.47316405720295224
2570,Uneàrth,1,0.0,1410.4785632500084,0.0,593.9593839404716,1.55,0.4428571428571428,5.0,0.0,0.0,55.0,0.0,0.1636321706065614,0.0,24.0,0.0,72.0,390.0,390.0,0.0,0.0,7.0,20.0,0.0,,,25201.0,15386.0,0.0,0.0,0.0,53.0,,1554.0,0.0,0.0,0.3450953552306329,514.0,18.0,,0.0,0.0,295.0,0.0,0.0,2.0463320463320462,0.3307593307593308,aram,0.0,0.0,0.4918135154612328,0.0,0.18270334181623601,0.08369565217391306,0.1741915635555565,0.10526315789473684,0.0,0.0,0.34459459459459457,0.0,0.4486284338462869,0.0,0.5135135135135135,0.0,0.125,0.10040212337618873,0.10040212337618873,0.0,0.0,0.3,1.0,0.0,,,0.7950846208136647,0.7495185690390513,0.0,0.0,0.0,0.5681818181818182,,0.956442831215971,0.0,0.0,1.0,1.0,1.0,,0.0,0.0,0.6045081967213115,0.0,0.0,0.46732037093290885,1.0
