riotIdGameName,games_played,win_y,challenges.damagePerMinute,challenges.dodgeSkillShotsSmallWindow,challenges.goldPerMinute,challenges.kda,challenges.killParticipation,challenges.laneMinionsFirst10Minutes,challenges.quickSoloKills,challenges.saveAllyFromDeath,challenges.skillshotsDodged,challenges.survivedSingleDigitHpCount,challenges.teamDamagePercentage,challenges.visionScorePerMinute,assists,assistMePings,championId,damageDealtToBuildings,damageDealtToObjectives,dangerPings,enemyMissingPings,kills,deaths,dragonKills,challenges.earlyLaningPhaseGoldExpAdvantage,challenges.laningPhaseGoldExpAdvantage,champExperience,goldEarned,neutralMinionsKilled,totalAllyJungleMinionsKilled,totalEnemyJungleMinionsKilled,totalMinionsKilled,challenges.laneMinionsFirst10Minutes.1,challenges.maxCsAdvantageOnLaneOpponent,gameDuration,challenges.turretPlatesTaken,challenges.soloKills,challenges.killParticipation.1,challenges.kda.1,challenges.damageTakenOnTeamPercentage,totalTimeSpentDead,champLevel,challenges.maxLevelLeadLaneOpponent,totalHealsOnTeammates,challenges.effectiveHealAndShielding,totalTimeCCDealt,challenges.wardTakedownsBefore20M,junglecsPerMinute,csPerMinute,timeDead,role
OpaSilolas,1,0.0,1180.105832287566,0.0,676.7879549359617,3.2,0.5925925925925926,20.0,0.0,0.0,11.0,0.0,0.1442839051101302,0.0,24.0,0.0,21.0,3128.0,3128.0,0.0,0.0,8.0,10.0,0.0,,,19287.0,12684.0,0.0,0.0,0.0,55.0,20.0,,1124.0,0.0,1.0,0.5925925925925926,3.2,0.1676489856835828,262.0,18.0,,653.0,653.3276977539062,109.0,0.0,0.0,2.9359430604982206,0.2330960854092526,aram
Optic Nerve,1,0.0,1578.7312141406776,1.0,683.4152845640873,2.333333333333333,0.5384615384615384,5.0,0.0,0.0,58.0,0.0,0.2108503885627044,0.0,16.0,0.0,266.0,0.0,0.0,0.0,0.0,19.0,15.0,0.0,,,24200.0,15367.0,0.0,0.0,0.0,22.0,5.0,,1349.0,0.0,3.0,0.5384615384615384,2.333333333333333,0.287649738842234,369.0,18.0,,0.0,0.0,275.0,0.0,0.0,0.9785025945144552,0.2735359525574499,aram
Oraange,1,100.0,1693.2518674652924,0.0,764.0778109852572,11.666666666666666,0.7608695652173914,30.0,0.0,0.0,2.0,0.0,0.235304812193301,0.0,27.0,0.0,81.0,1098.0,1098.0,0.0,0.0,8.0,3.0,0.0,,,12801.0,10480.0,0.0,0.0,0.0,42.0,30.0,,822.0,0.0,0.0,0.7608695652173914,11.666666666666666,0.155466079880047,75.0,14.0,,185.0,185.0,0.0,0.0,0.0,3.0656934306569346,0.0912408759124087,aram
Oraciion,1,0.0,1191.11635270153,0.0,756.342279680475,3.111111111111111,0.7777777777777778,48.0,0.0,0.0,14.0,0.0,0.2449914884247707,0.0,18.0,0.0,21.0,796.0,796.0,0.0,1.0,10.0,9.0,0.0,,,14902.0,11577.0,0.0,0.0,0.0,66.0,48.0,,918.0,0.0,4.0,0.7777777777777778,3.111111111111111,0.1609130024961706,205.0,16.0,,0.0,0.0,100.0,1.0,0.0,4.313725490196078,0.2233115468409586,aram
Oreillon sale,1,100.0,1399.0253829326723,2.0,703.1984664772355,4.5,0.6,16.0,0.0,0.0,32.0,0.0,0.2446784970454037,0.0,17.0,0.0,432.0,3584.0,3584.0,0.0,0.0,10.0,6.0,0.0,,,18702.0,12991.0,0.0,0.0,0.0,54.0,16.0,,1108.0,0.0,0.0,0.6,4.5,0.1370942284848582,165.0,18.0,,741.0,741.8187866210938,281.0,2.0,0.0,2.924187725631769,0.1489169675090252,aram
OrenesK,1,100.0,1186.270282180588,6.0,641.5157326053886,3.5,0.6222222222222222,15.0,0.0,0.0,82.0,0.0,0.1753850637188093,0.0,22.0,0.0,518.0,911.0,911.0,0.0,0.0,6.0,8.0,0.0,,,15482.0,11598.0,0.0,0.0,0.0,23.0,15.0,,1084.0,0.0,0.0,0.6222222222222222,3.5,0.1591583366651368,216.0,16.0,,0.0,0.0,109.0,0.0,0.0,1.2730627306273063,0.1992619926199262,aram
Oromero12tft,1,100.0,1846.8218366933088,2.0,696.1975750428983,2.6153846153846154,0.5483870967741935,8.0,0.0,0.0,35.0,0.0,0.2101508053126752,0.0,14.0,0.0,35.0,1036.0,1036.0,0.0,3.0,20.0,13.0,0.0,,,25570.0,17739.0,0.0,0.0,0.0,31.0,8.0,,1528.0,0.0,3.0,0.5483870967741935,2.6153846153846154,0.1282475334006379,369.0,18.0,,0.0,0.0,258.0,0.0,0.0,1.2172774869109948,0.2414921465968586,aram
OryomTV,1,100.0,1771.24438845714,8.0,624.9571128360536,3.9166666666666665,0.6438356164383562,19.0,0.0,0.0,123.0,0.0,0.2023602286792364,0.0,35.0,0.0,3.0,543.0,543.0,0.0,0.0,12.0,12.0,0.0,,,26928.0,15702.0,0.0,0.0,0.0,40.0,19.0,,1507.0,0.0,1.0,0.6438356164383562,3.9166666666666665,0.2830645131710226,336.0,18.0,,0.0,3078.029296875,267.0,0.0,0.0,1.59256801592568,0.2229595222295952,aram
Orìanna,22,22.73,1068.6809649811769,2.0454545454545454,635.9189099614588,2.92978244509345,0.5749684756647877,13.909090909090908,0.0,0.045454545454545456,41.81818181818182,0.09090909090909091,0.16772848397762358,0.0007606274955753272,17.136363636363637,0.09090909090909091,107.0,768.7272727272727,768.7272727272727,0.0,0.13636363636363635,7.0,10.272727272727273,0.0,,,16184.681818181818,11519.5,0.0,0.0,0.0,27.181818181818183,13.909090909090908,,1103.1818181818182,0.0,0.2727272727272727,0.5749684756647877,2.92978244509345,0.16533471841791597,244.04545454545453,15.636363636363637,,97.27272727272727,357.59470159357244,99.54545454545455,0.0,0.0,1.5444219098165355,0.21169349992002598,aram
Osckel1379,1,0.0,702.6405159580272,28.0,604.7667165791269,2.4444444444444446,0.5945945945945946,6.0,0.0,0.0,216.0,0.0,0.1459117203236814,0.0,14.0,0.0,19.0,286.0,286.0,0.0,0.0,8.0,9.0,0.0,,,14276.0,10752.0,0.0,0.0,0.0,10.0,6.0,,1066.0,0.0,1.0,0.5945945945945946,2.4444444444444446,0.2780486186453165,235.0,15.0,,0.0,0.0,195.0,0.0,0.0,0.5628517823639775,0.2204502814258911,aram
