riotIdGameName,role,games_played,win_y,challenges.damagePerMinute,challenges.dodgeSkillShotsSmallWindow,challenges.goldPerMinute,challenges.kda,challenges.killParticipation,challenges.laneMinionsFirst10Minutes,challenges.quickSoloKills,challenges.saveAllyFromDeath,challenges.skillshotsDodged,challenges.survivedSingleDigitHpCount,challenges.teamDamagePercentage,challenges.visionScorePerMinute,assists,assistMePings,championId,damageDealtToBuildings,damageDealtToObjectives,dangerPings,enemyMissingPings,kills,deaths,dragonKills,challenges.earlyLaningPhaseGoldExpAdvantage,challenges.laningPhaseGoldExpAdvantage,champExperience,goldEarned,neutralMinionsKilled,totalAllyJungleMinionsKilled,totalEnemyJungleMinionsKilled,totalMinionsKilled,challenges.laneMinionsFirst10Minutes.1,challenges.maxCsAdvantageOnLaneOpponent,gameDuration,challenges.turretPlatesTaken,challenges.soloKills,challenges.killParticipation.1,challenges.kda.1,challenges.damageTakenOnTeamPercentage,totalTimeSpentDead,champLevel,challenges.maxLevelLeadLaneOpponent,win_percent
Charlie,carry,2,0.0,694.6998204634904,0.0,450.8255152115562,1.2642857142857142,0.48917748917748916,72.0,0.0,0.0,25.5,0.0,0.24527820702287606,0.7619541010954098,4.5,3.5,154.0,5062.0,9906.5,0.0,6.5,6.0,8.5,0.0,0.0,0.5,15113.0,14109.5,9.5,1.0,5.0,215.5,72.0,67.75000001490116,1881.0,3.0,1.0,0.48917748917748916,1.2642857142857142,0.2174429120753184,287.5,15.5,1.5,
Fubuki,carry,170,55.88,682.8822541617792,2.276470588235294,436.83707452665095,4.175700084229496,0.4457804165052744,62.54117647058823,0.0,0.01764705882352941,30.441176470588236,0.011764705882352941,0.20783772316416294,0.49959417763537023,5.929411764705883,13.770588235294118,155.94117647058823,4379.911764705882,13191.582352941177,0.0,16.841176470588234,6.117647058823529,4.729411764705882,0.18823529411764706,0.11242603550295859,0.16071428571428573,13615.723529411765,12516.423529411764,5.929411764705883,2.2588235294117647,0.6411764705882353,210.64117647058825,62.54117647058823,33.62647058928714,1708.0117647058823,1.611764705882353,0.40588235294117647,0.4457804165052744,4.175700084229496,0.14634892367648178,126.91764705882353,14.611764705882353,1.6176470588235294,
Fubuki,jungle,8,87.5,788.3490639335682,4.375,453.58051990763306,8.225446428571429,0.5504346804511278,3.875,0.0,0.0,37.375,0.125,0.21101410454839215,0.6673338551412903,10.25,10.0,99.875,1652.25,29704.75,0.0,10.5,9.5,4.25,0.75,0.25,0.125,16265.5,13686.375,169.625,130.75,10.125,32.125,3.875,45.71250007674098,1823.0,0.125,1.5,0.5504346804511278,8.225446428571429,0.263992596883103,136.75,16.375,2.375,
Fubuki,support,17,41.18,286.1079079240711,1.411764705882353,291.606317526707,5.426704014939309,0.5424834023901174,13.705882352941176,0.0,1.2352941176470589,35.294117647058826,0.0,0.08210069803017496,1.9177455244426047,15.470588235294118,22.470588235294116,230.23529411764707,935.2941176470588,3055.1176470588234,0.0,19.823529411764707,2.2941176470588234,4.823529411764706,0.058823529411764705,0.058823529411764705,0.058823529411764705,12543.764705882353,9045.235294117647,0.47058823529411764,0.11764705882352941,0.0,34.0,13.705882352941176,9.764705882352942,1885.3529411764705,1.588235294117647,0.17647058823529413,0.5424834023901174,5.426704014939309,0.14789205517203854,128.7058823529412,13.647058823529411,1.5294117647058822,
James,carry,11,45.45,961.5078800772221,2.727272727272727,432.9753411712517,2.2464646464646467,0.39528205664820404,68.63636363636364,0.0,0.2727272727272727,38.27272727272727,0.0,0.25206223654626964,0.6011538291119467,6.545454545454546,0.9090909090909091,180.1818181818182,4439.727272727273,13870.454545454546,0.0,1.0,7.2727272727272725,6.363636363636363,0.09090909090909091,0.18181818181818182,0.09090909090909091,15883.545454545454,14024.181818181818,14.181818181818182,5.818181818181818,5.454545454545454,213.27272727272728,68.63636363636364,35.0727272819389,1905.2727272727273,1.7272727272727273,1.5454545454545454,0.39528205664820404,2.2464646464646467,0.16443163595842428,206.45454545454547,15.636363636363637,2.0,
James,jungle,23,30.43,746.0025178264158,5.304347826086956,399.3987093546819,2.804399585921325,0.5592790798545274,3.739130434782609,0.08695652173913043,0.0,45.869565217391305,0.043478260869565216,0.20409682670839924,0.7279984296564187,9.130434782608695,1.1304347826086956,133.47826086956522,1045.8695652173913,22158.0,0.0,1.5217391304347827,7.608695652173913,6.695652173913044,1.565217391304348,0.043478260869565216,0.08695652173913043,15279.521739130434,12829.173913043478,150.1304347826087,114.26086956521739,6.391304347826087,35.95652173913044,3.739130434782609,20.89347830803498,1916.4782608695652,0.17391304347826086,1.7391304347826086,0.5592790798545274,2.804399585921325,0.23443235426590817,210.47826086956522,15.217391304347826,1.4782608695652173,
James,support,15,46.67,516.0454760772376,2.8,338.5513340822609,2.73510582010582,0.48002111031966,12.266666666666667,0.0,2.3333333333333335,31.133333333333333,0.06666666666666667,0.1490599871522039,1.679047993967558,13.266666666666667,0.5333333333333333,314.1333333333333,1283.2666666666667,2208.866666666667,0.0,2.8666666666666667,4.266666666666667,6.8,0.0,0.0,0.13333333333333333,10924.4,9449.866666666667,1.2,0.4,0.4,50.8,12.266666666666667,26.576666671037675,1653.3333333333333,1.6666666666666667,0.6666666666666666,0.48002111031966,2.73510582010582,0.18448174004054144,136.0,12.933333333333334,1.4666666666666666,
Lewis,carry,32,40.62,589.6968038789619,2.9375,380.2485104428115,2.4500868055555554,0.42156089497147103,49.59375,0.0,0.0,39.09375,0.125,0.17673702287499193,0.28572769339114396,5.8125,1.375,70.40625,5539.3125,15769.40625,0.0,2.96875,6.125,5.90625,0.34375,0.03225806451612903,0.06451612903225806,14478.28125,11966.125,5.15625,0.9375,0.375,190.78125,49.59375,22.704838710446513,1865.53125,1.21875,0.65625,0.42156089497147103,2.4500868055555554,0.16451349539392834,165.09375,14.875,1.4838709677419355,
Lewis,support,3,33.33,319.1350705385766,10.0,244.79247209197436,1.6190476190476188,0.4724945533769063,13.666666666666666,0.0,0.3333333333333333,76.0,0.0,0.08439882667259307,1.7115254026102455,12.0,2.6666666666666665,307.6666666666667,1059.3333333333333,4533.333333333333,0.0,2.3333333333333335,1.3333333333333333,8.333333333333334,0.0,0.0,0.0,13967.666666666666,9628.666666666666,1.3333333333333333,1.3333333333333333,0.0,41.333333333333336,13.666666666666666,11.999999990065893,2384.0,0.6666666666666666,0.0,0.4724945533769063,1.6190476190476188,0.15906754718628627,277.6666666666667,15.333333333333334,1.6666666666666667,
Miti,carry,4,25.0,736.5298154413583,1.75,396.83665212659673,2.3428030303030303,0.4018258727778968,55.75,0.0,0.0,33.5,0.5,0.23209417703748572,0.6463522982909553,6.5,0.25,162.75,1284.75,1389.75,0.0,3.0,7.5,7.0,0.0,0.0,0.0,12391.5,10136.0,1.0,1.0,0.0,129.0,55.75,2.0,1531.75,0.75,3.0,0.4018258727778968,2.3428030303030303,0.19371114481436794,194.25,14.25,1.0,
